Open,High,Low,Close,Adj Close,Volume
3.231429,3.378571,3.171429,3.217857,3.217857,25684400
3.216429,3.390000,3.214286,3.388571,3.388571,18060000
3.420714,3.422857,3.302143,3.343571,3.343571,11704000
3.457143,3.482143,3.211429,3.237143,3.237143,14289800
3.212143,3.242143,3.120714,3.200000,3.200000,19339600
3.179286,3.620000,3.075000,3.606429,3.606429,64415400
3.591429,3.700000,3.553571,3.655000,3.655000,44256800
3.656429,3.699286,3.596429,3.647857,3.647857,18169200
3.628571,3.732143,3.610714,3.712143,3.712143,18925200
3.713571,3.960000,3.635714,3.919286,3.919286,29043000
3.936429,4.176429,3.917857,4.070000,4.070000,27525400
4.064286,4.212857,4.050000,4.157143,4.157143,11887400
4.179286,4.230714,4.147143,4.165000,4.165000,16269400
4.166429,4.166429,4.025714,4.056429,4.056429,15573600
4.045714,4.091429,3.880714,3.906429,3.906429,16801400
4.107143,4.127857,3.842143,3.916429,3.916429,50230600
3.892857,4.061429,3.875000,3.992857,3.992857,25207000
3.946429,4.339286,3.937143,4.257857,4.257857,52633000
4.307143,4.470000,4.249286,4.445714,4.445714,68432000
4.539286,4.564286,4.291429,4.432857,4.432857,37178400
4.337143,4.578571,4.315714,4.428571,4.428571,33030200
4.445714,4.614286,4.366429,4.575000,4.575000,26857600
4.598571,4.680000,4.527143,4.665000,4.665000,32963000
4.642857,4.725000,4.585714,4.650000,4.650000,23070600
4.637143,4.675714,4.535714,4.627857,4.627857,16013200
4.639286,4.682857,4.593571,4.682857,4.682857,24075800
4.698571,4.943571,4.655714,4.839286,4.839286,40924800
4.858571,4.882143,4.687857,4.700000,4.700000,40915000
5.413571,5.657143,5.230000,5.547143,5.547143,166234600
5.535714,5.625000,5.361429,5.535714,5.535714,54593000
5.464286,5.505714,5.375000,5.447143,5.447143,31306800
5.428571,5.681429,5.350714,5.370714,5.370714,67012400
5.365714,5.455714,5.053571,5.135714,5.135714,49611800
5.209286,5.216429,4.906429,5.053571,5.053571,56393400
5.033571,5.333571,5.013571,5.243571,5.243571,35644000
5.300000,5.382857,5.157143,5.195000,5.195000,32034800
5.184286,5.266429,5.006429,5.135714,5.135714,33744200
5.089286,5.149286,4.957143,4.975000,4.975000,27357400
4.960714,5.255000,4.949286,5.225714,5.225714,33248600
5.235714,5.485714,5.176429,5.473571,5.473571,31558800
5.517857,5.639286,5.460714,5.468571,5.468571,30332400
5.532143,5.532143,5.145000,5.200000,5.200000,64220800
5.157143,5.364286,5.002857,5.140000,5.140000,57061200
5.195714,5.410000,5.037143,5.328571,5.328571,39651500
5.370000,5.445714,5.064286,5.077143,5.077143,29848000
5.157143,5.171429,4.930000,5.040000,5.040000,21977900
5.068571,5.157143,4.974286,5.034286,5.034286,14573300
5.097143,5.142857,4.835714,4.878571,4.878571,17955000
4.832857,5.054286,4.650000,5.054286,5.054286,38625300
4.842857,5.121429,4.828571,5.002857,5.002857,42249200
4.502857,4.591429,4.322857,4.457143,4.457143,99174600
4.440000,4.501429,4.367143,4.444286,4.444286,27232800
4.402857,4.874286,4.375714,4.800000,4.800000,51582300
4.857143,4.995714,4.717143,4.914286,4.914286,34990200
4.907143,5.065714,4.888571,4.964286,4.964286,24390800
4.964286,5.021429,4.914286,4.922857,4.922857,15796900
4.920000,4.942857,4.715714,4.717143,4.717143,20910400
4.732857,4.748571,4.644286,4.668571,4.668571,17023300
4.651429,4.871429,4.618571,4.752857,4.752857,19357800
